{2025.04.18_21.37.50}boot.spinand deleted!
{2025.04.18_21.37.50}cfg.spinand deleted!
{2025.04.18_21.37.50}fip.bin deleted!
{2025.04.18_21.37.50}fip_spl.bin deleted!
{2025.04.18_21.37.50}fw_payload_uboot.bin deleted!
{2025.04.18_21.37.50}partition_spinand.xml deleted!
{2025.04.18_21.37.50}ramboot.itb deleted!
{2025.04.18_21.37.50}rootfs.spinand deleted!
{2025.04.18_21.37.50}system.spinand deleted!
{2025.04.18_21.37.50}upgrade.zip deleted!
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.38.00}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.18_21.38.00}[INFO] fip_tx_offset: 41984, fip_tx_size: 8192
{2025.04.18_21.38.00}[INFO] set MGN1 flag
{2025.04.18_21.38.00}[INFO] break
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  /    
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.38.00}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.18_21.38.00}[INFO] fip_tx_offset: 50176, fip_tx_size: 78336
{2025.04.18_21.38.00}[INFO] set MGN1 flag
{2025.04.18_21.38.00}[INFO] break
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection: ---    
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  \    
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  |     
{2025.04.18_21.38.00}[INFO] Waiting for USB device connection:  |     
