{2025.04.24_17.13.34}boot.spinor deleted!
{2025.04.24_17.13.34}data.spinor deleted!
{2025.04.24_17.13.34}fip.bin deleted!
{2025.04.24_17.13.34}fip_spl.bin deleted!
{2025.04.24_17.13.34}fw_payload_uboot.bin deleted!
{2025.04.24_17.13.34}partition_spinor.xml deleted!
{2025.04.24_17.13.34}ramboot.itb deleted!
{2025.04.24_17.13.34}rootfs.spinor deleted!
{2025.04.24_17.13.34}upgrade.zip deleted!
{2025.04.24_17.13.45}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.45}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.45}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.45}[INFO] fip_tx_offset: 128512, fip_tx_size: 115200
{2025.04.24_17.13.46}[INFO] set MGN1 flag
{2025.04.24_17.13.46}[INFO] break
{2025.04.24_17.13.46}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.46}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.46}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.46}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.46}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.46}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.46}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.46}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.46}[INFO] fip_tx_offset: 243712, fip_tx_size: 512
{2025.04.24_17.13.46}[INFO] set MGN1 flag
{2025.04.24_17.13.46}[INFO] break
{2025.04.24_17.13.46}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.46}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.46}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.46}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.46}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.46}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.46}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.46}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.46}[INFO] fip_tx_offset: 243712, fip_tx_size: 245760
{2025.04.24_17.13.46}[INFO] set MGN1 flag
{2025.04.24_17.13.46}[INFO] break
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.47}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.47}[INFO] found usb device vid=0x3346 pid=0x1000
{2025.04.24_17.13.47}[INFO] xml file is partition_spinor.xml
{2025.04.24_17.13.47}[INFO] xml storage type: spinor
{2025.04.24_17.13.47}[INFO] update total size: 6864496 byte
{2025.04.24_17.13.47}[INFO] USB download start...
{2025.04.24_17.13.47}[INFO] downloading file: C:/Users/unimage/Desktop/test/downloadImageFile\fip.bin
{2025.04.24_17.13.48}[INFO] send fip.bin finish
{2025.04.24_17.13.48}[INFO] break
{2025.04.24_17.13.48}[INFO] updated size: 489472/6864496(7%)
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.48}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection: ---    
{2025.04.24_17.13.49}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.50}[INFO] Waiting for USB device connection:  \    
{2025.04.24_17.13.50}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.50}[INFO] Waiting for USB device connection:  |     
{2025.04.24_17.13.50}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.50}[INFO] Waiting for USB device connection:  /    
{2025.04.24_17.13.50}[INFO] Waiting for USB device connection: ---    
